"activity","count","date"
"Meeting",7266,"2023-03-21 22:09:22.805+00"
"Coding",2126,"2023-03-21 04:36:07.579987+00"
"Gaming",15674,"2023-03-21 21:00:26.198739+00"
"",5,"2023-03-21 04:00:40.205608+00"
"Learning",4024,"2023-03-21 08:10:18.901654+00"
"Guitar",2,"2023-03-20 00:15:08.334574+00"
"Coding",1343,"2023-03-20 02:42:23.335367+00"
"",795,"2023-03-20 02:15:36.685196+00"
"Gaming",10515,"2023-03-20 13:02:35.718781+00"
"Learning",1251,"2023-03-20 11:19:05.774187+00"
"",5,"2023-03-19 22:20:57.802302+00"
"Gaming",5936,"2023-03-19 23:59:59.5301+00"
"Working",2482,"2023-03-18 00:41:24.272272+00"
"Gaming",9377,"2023-03-18 03:17:50.792759+00"
"",4,"2023-03-17 21:48:29.800992+00"
"Working",7882,"2023-03-17 23:59:59.502218+00"
"Break",373,"2023-03-17 06:11:34.792929+00"
"Gaming",11777,"2023-03-17 16:03:45.633325+00"
"Gaming",33698,"2023-03-16 23:59:59.667729+00"
"",2,"2023-03-16 18:12:26.420858+00"
"Meeting",611,"2023-03-16 22:33:34.790599+00"
"Break",5442,"2023-03-16 19:48:10.655272+00"
"Meeting",3746,"2023-03-15 23:21:24.570695+00"
"Working",6529,"2023-03-15 20:19:42.799657+00"
"Gaming",25613,"2023-03-15 23:59:59.149416+00"
"Coding",4344,"2023-03-15 21:13:40.047522+00"
"",15,"2023-03-15 17:16:19.598199+00"
"Break",4377,"2023-03-15 23:53:28.727479+00"
"Meeting",6793,"2023-03-14 22:50:50.576591+00"
"",4,"2023-03-14 17:14:06.308854+00"
"Break",8431,"2023-03-14 22:51:37.78466+00"
"Working",1368,"2023-03-14 18:15:22.368792+00"
"Break",3511,"2023-03-13 17:19:44.343936+00"
"Working",2306,"2023-03-13 16:02:52.246756+00"
"",15,"2023-03-13 16:52:47.66924+00"
"Coding",12940,"2023-03-13 18:35:44.42134+00"
"Meeting",5294,"2023-03-13 19:33:12.343928+00"
"Learning",6045,"2023-03-13 17:52:06.515671+00"
