"id","date","activity","cognito_uuid"
435048,"2023-04-10 02:14:27.013845+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435047,"2023-04-10 02:14:26.044098+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435046,"2023-04-10 02:14:25.055698+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435045,"2023-04-10 02:14:24.047155+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435044,"2023-04-10 02:14:23.040513+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435043,"2023-04-10 02:14:22.058494+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435042,"2023-04-10 02:14:21.035534+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435041,"2023-04-10 02:14:20.031274+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435040,"2023-04-10 02:14:19.035196+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435039,"2023-04-10 02:14:18.039034+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435038,"2023-04-10 02:14:17.025919+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435037,"2023-04-10 02:14:16.042668+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435036,"2023-04-10 02:14:15.018806+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435035,"2023-04-10 02:14:14.029065+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435034,"2023-04-10 02:14:13.058403+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435033,"2023-04-10 02:14:12.030235+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435032,"2023-04-10 02:14:11.029909+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435031,"2023-04-10 02:14:10.026614+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435030,"2023-04-10 02:14:09.03287+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435029,"2023-04-10 02:14:08.02531+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435028,"2023-04-10 02:14:07.040183+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435027,"2023-04-10 02:14:06.005616+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435026,"2023-04-10 02:14:05.004683+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435025,"2023-04-10 02:14:04.068051+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435024,"2023-04-10 02:14:03.054075+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435023,"2023-04-10 02:14:02.033552+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435022,"2023-04-10 02:14:01.017743+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435021,"2023-04-10 02:14:00.079739+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435020,"2023-04-10 02:13:59.090276+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435019,"2023-04-10 02:13:58.03475+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435018,"2023-04-10 02:13:57.051297+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435017,"2023-04-10 02:13:56.028961+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435016,"2023-04-10 02:13:55.030664+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435015,"2023-04-10 02:13:54.028997+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435014,"2023-04-10 02:13:53.074319+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435013,"2023-04-10 02:13:52.022332+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435012,"2023-04-10 02:13:51.082113+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435011,"2023-04-10 02:13:50.037621+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435010,"2023-04-10 02:13:49.024639+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435009,"2023-04-10 02:13:48.051154+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435008,"2023-04-10 02:13:47.03295+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435007,"2023-04-10 02:13:46.007604+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435006,"2023-04-10 02:13:45.095053+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435005,"2023-04-10 02:13:44.032168+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435004,"2023-04-10 02:13:43.105094+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435003,"2023-04-10 02:13:36.030562+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435002,"2023-04-10 02:13:34.070626+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435001,"2023-04-10 02:13:33.101683+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435000,"2023-04-10 02:13:32.079303+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434999,"2023-04-10 02:13:31.030363+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434998,"2023-04-10 02:13:30.056104+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434997,"2023-04-10 02:13:29.054875+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434996,"2023-04-10 02:13:28.092788+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434995,"2023-04-10 02:13:27.041523+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434994,"2023-04-10 02:13:26.076476+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434993,"2023-04-10 02:13:25.032799+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434992,"2023-04-10 02:13:24.043753+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434991,"2023-04-10 02:13:23.078831+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434990,"2023-04-10 02:13:22.01004+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434989,"2023-04-10 02:13:21.07074+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434988,"2023-04-10 02:13:20.03564+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434987,"2023-04-10 02:13:19.11057+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434986,"2023-04-10 02:13:18.045729+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434985,"2023-04-10 02:13:17.031245+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434984,"2023-04-10 02:13:16.033427+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434983,"2023-04-10 02:13:15.077774+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434982,"2023-04-10 02:13:14.022034+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434981,"2023-04-10 02:13:13.037543+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434980,"2023-04-10 02:13:12.043473+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434979,"2023-04-10 02:13:11.04034+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434978,"2023-04-10 02:13:10.05365+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434977,"2023-04-10 02:13:09.057098+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434976,"2023-04-10 02:13:08.008274+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434975,"2023-04-10 02:13:07.093789+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434974,"2023-04-10 02:13:06.054616+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434973,"2023-04-10 02:13:05.073325+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434972,"2023-04-10 02:13:04.061318+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434971,"2023-04-10 02:13:03.046962+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434970,"2023-04-10 02:13:02.075577+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434969,"2023-04-10 02:13:01.046157+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434968,"2023-04-10 02:13:00.015099+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434967,"2023-04-10 02:12:59.036097+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434966,"2023-04-10 02:12:58.042095+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434965,"2023-04-10 02:12:57.064239+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434964,"2023-04-10 02:12:56.047701+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434963,"2023-04-10 02:12:55.080385+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434962,"2023-04-10 02:12:54.055739+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434961,"2023-04-10 02:12:53.048635+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434960,"2023-04-10 02:12:52.059663+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434959,"2023-04-10 02:12:51.030204+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434958,"2023-04-10 02:12:50.027789+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434957,"2023-04-10 02:12:49.103974+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434956,"2023-04-10 02:12:48.018167+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434955,"2023-04-10 02:12:47.029246+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434954,"2023-04-10 02:12:46.068979+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434953,"2023-04-10 02:12:45.024127+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434952,"2023-04-10 02:12:44.009967+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434951,"2023-04-10 02:12:43.022223+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434950,"2023-04-10 02:12:42.022173+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434949,"2023-04-10 02:12:41.047361+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434948,"2023-04-10 02:12:40.035753+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434947,"2023-04-10 02:12:39.059242+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434946,"2023-04-10 02:12:38.0454+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434945,"2023-04-10 02:12:37.039801+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434944,"2023-04-10 02:12:36.023267+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434943,"2023-04-10 02:12:35.048523+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434942,"2023-04-10 02:12:34.023356+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434941,"2023-04-10 02:12:33.069072+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434940,"2023-04-10 02:12:32.037588+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434939,"2023-04-10 02:12:31.044512+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434938,"2023-04-10 02:12:30.042613+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434937,"2023-04-10 02:12:29.038446+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434936,"2023-04-10 02:12:28.026052+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434935,"2023-04-10 02:12:27.037214+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434934,"2023-04-10 02:12:26.048159+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434933,"2023-04-10 02:12:25.051484+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434932,"2023-04-10 02:12:24.064105+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434931,"2023-04-10 02:12:23.021725+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434930,"2023-04-10 02:12:22.045626+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434929,"2023-04-10 02:12:21.052958+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434928,"2023-04-10 02:12:20.052222+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434927,"2023-04-10 02:12:19.045526+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434926,"2023-04-10 02:12:18.03264+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434925,"2023-04-10 02:12:17.011818+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434924,"2023-04-10 02:12:16.048975+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434923,"2023-04-10 02:12:15.044576+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434922,"2023-04-10 02:12:14.059166+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434921,"2023-04-10 02:12:13.040834+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434920,"2023-04-10 02:12:12.087145+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434919,"2023-04-10 02:12:11.032743+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434918,"2023-04-10 02:12:10.022972+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434917,"2023-04-10 02:12:09.049085+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434916,"2023-04-10 02:12:08.017275+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434915,"2023-04-10 02:12:07.08114+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434914,"2023-04-10 02:12:06.050217+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434913,"2023-04-10 02:12:05.043401+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434912,"2023-04-10 02:12:04.064764+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434911,"2023-04-10 02:12:03.061301+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434910,"2023-04-10 02:12:02.064155+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434909,"2023-04-10 02:12:01.032831+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434908,"2023-04-10 02:12:00.017948+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434907,"2023-04-10 02:11:59.028453+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434906,"2023-04-10 02:11:58.030999+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434905,"2023-04-10 02:11:57.013639+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434904,"2023-04-10 02:11:56.030614+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434903,"2023-04-10 02:11:55.034264+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434902,"2023-04-10 02:11:54.048109+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434901,"2023-04-10 02:11:53.010324+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434900,"2023-04-10 02:11:52.035548+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434899,"2023-04-10 02:11:51.051188+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434898,"2023-04-10 02:11:50.04493+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434897,"2023-04-10 02:11:49.060842+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434896,"2023-04-10 02:11:48.074193+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434895,"2023-04-10 02:11:47.087636+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434894,"2023-04-10 02:11:46.006856+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434893,"2023-04-10 02:11:45.062853+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434892,"2023-04-10 02:11:44.035803+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434891,"2023-04-10 02:11:43.036804+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434890,"2023-04-10 02:11:42.005327+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434889,"2023-04-10 02:11:41.016879+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434888,"2023-04-10 02:11:40.057135+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434887,"2023-04-10 02:11:39.102858+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434886,"2023-04-10 02:11:38.058323+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434885,"2023-04-10 02:11:37.092775+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434884,"2023-04-10 02:11:36.07183+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434883,"2023-04-10 02:11:35.060964+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434882,"2023-04-10 02:11:34.054441+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434881,"2023-04-10 02:11:33.057416+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434880,"2023-04-10 02:11:32.013565+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434879,"2023-04-10 02:11:31.067949+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434878,"2023-04-10 02:11:30.045738+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
